assemblydistrict,rangel,espaillat,walrond,garcia,leading,white,black,asian,hispanic
36086,88,171,9,2,espaillat,20.1,31.1,2.1,71.6
36077,383,214,30,9,rangel,16.7,43.2,1.3,60.9
36071,5136,4935,747,76,rangel,34.8,31.1,3.2,48.2
36070,6637,2188,1845,77,rangel,18.4,55.2,2.6,35.4
36072,2510,7765,198,95,espaillat,30.2,13.5,1.9,82.2
36080,573,372,37,29,rangel,44.5,23.5,7.9,43.1
36081,868,1088,59,48,espaillat,50.5,21.3,6.9,35.0
36078,830,1429,86,50,espaillat,29.6,23.7,4.9,66.5
36068,4090,1624,585,81,rangel,30.6,37.4,5.4,47.3
36069,1408,900,150,27,rangel,59.3,18.1,9.1,22.9
